wrong_name;official_name
-Sub-Crash Bandicoot Collection;- Sub_Selection - Crash Bandicoot Collection
-SubCol- Crash Bandicoot Collection;- Sub_Selection - Crash Bandicoot Collection
'''- SubCol ?  Crash Bandicoot Collection''';- Sub_Selection - Crash Bandicoot Collection
Crash Bandicoot Collection;- Sub_Selection - Crash Bandicoot Collection
- SubCol - Crash Bandicoot Collection;- Sub_Selection - Crash Bandicoot Collection
- Sub ?  Disney Collection;- Sub_Selection - Disney Collection
-Sub-Disney Collection;- Sub_Selection - Disney Collection
-SubCol- Disney Collection;- Sub_Selection - Disney Collection
'''- SubCol ?  Disney Collection''';- Sub_Selection - Disney Collection
Disney Collection;- Sub_Selection - Disney Collection
- SubCol - Disney Collection;- Sub_Selection - Disney Collection
- Sub ?  Donkey kong Collection;- Sub_Selection - Donkey kong Collection
-Sub-Donkey kong Collection;- Sub_Selection - Donkey kong Collection
-SubCol-  Donkey kong Collection;- Sub_Selection - Donkey kong Collection
-SubCol- Donkey kong Collection;- Sub_Selection - Donkey kong Collection
'''- SubCol ?  Donkey kong Collection''';- Sub_Selection - Donkey kong Collection
Donkey Kong Collection;- Sub_Selection - Donkey kong Collection
donkeykong;- Sub_Selection - Donkey kong Collection
- SubCol - Donkey kong Collection;- Sub_Selection - Donkey kong Collection
- Sub ?  Doom;- Sub_Selection - Doom Collection
- SubCol ?  Doom Collection;- Sub_Selection - Doom Collection
-Sub-Doom;- Sub_Selection - Doom Collection
-SubCol- Doom;- Sub_Selection - Doom Collection
-SubCol-Doom Collection;- Sub_Selection - Doom Collection
'''- SubCol ?  Doom''';- Sub_Selection - Doom Collection
prboom;- Sub_Selection - Doom Collection
- Sub ?  Doom Collection;- Sub_Selection - Doom Collection
-Sub-Doom Collection;- Sub_Selection - Doom Collection
-SubCol-  Doom Collection;- Sub_Selection - Doom Collection
-SubCol- Doom Collection;- Sub_Selection - Doom Collection
'''- SubCol ?  Doom Collection''';- Sub_Selection - Doom Collection
Doom;- Sub_Selection - Doom Collection
Doom II Official;- Sub_Selection - Doom Collection
Doom Slayers Collection;- Sub_Selection - Doom Collection
- SubCol - Doom;- Sub_Selection - Doom Collection
- SubCol - Doom Collection;- Sub_Selection - Doom Collection
- Sub ?  Double Dragon Collection;- Sub_Selection - Double Dragon Collection
-Sub-Double Dragon Collection;- Sub_Selection - Double Dragon Collection
-SubCol- Double Dragon Collection;- Sub_Selection - Double Dragon Collection
'''- SubCol ?  Double Dragon Collection''';- Sub_Selection - Double Dragon Collection
doubledragon;- Sub_Selection - Double Dragon Collection
- SubCol - Double Dragon Collection;- Sub_Selection - Double Dragon Collection
- Sub ?  Dragon Ball Z Collection;- Sub_Selection - Dragon Ball Z Collection
-Sub-Dragon Ball Z Collection;- Sub_Selection - Dragon Ball Z Collection
-SubCol- Dragon Ball Z Collection;- Sub_Selection - Dragon Ball Z Collection
'''- SubCol ?  Dragon Ball Z Collection''';- Sub_Selection - Dragon Ball Z Collection
Dragon Ball Z Collection;- Sub_Selection - Dragon Ball Z Collection
- SubCol - Dragon Ball Z Collection;- Sub_Selection - Dragon Ball Z Collection
- Sub ?  F-Zero Collection;- Sub_Selection - F-Zero Collection
-Sub-F-Zero Collection;- Sub_Selection - F-Zero Collection
-SubCol- F-Zero Collection;- Sub_Selection - F-Zero Collection
'''- SubCol ?  F-Zero Collection''';- Sub_Selection - F-Zero Collection
F-Zero Collection;- Sub_Selection - F-Zero Collection
- SubCol - F-Zero Collection;- Sub_Selection - F-Zero Collection
- Sub ?  Far Cry Collection;- Sub_Selection - Far Cry Collection
-Sub-Far Cry Collection;- Sub_Selection - Far Cry Collection
-SubCol- Far Cry Collection;- Sub_Selection - Far Cry Collection
'-SubCol-Far Cry Collection''';- Sub_Selection - Far Cry Collection
'''- SubCol ?  Far Cry Collection''';- Sub_Selection - Far Cry Collection
Far Cry Collection;- Sub_Selection - Far Cry Collection
- SubCol - Far Cry Collection;- Sub_Selection - Far Cry Collection
- Sub ?  Fatal Fury Collection;- Sub_Selection - Fatal Fury Collection
-Sub-Fatal Fury Collection;- Sub_Selection - Fatal Fury Collection
