rom_wrong_name;rom_official_name;alt_rom_official_name
;killbld;The Killing Blade / Ao Jian Kuang Dao (ver. 109, Chinese Board)
;killbld100;The Killing Blade / Ao Jian Kuang Dao (ver. 100)
;killbld104;The Killing Blade / Ao Jian Kuang Dao (ver. 104)
;killbld106;The Killing Blade / Ao Jian Kuang Dao (ver. 106)
;kinst;Killer Instinct
;kinst2;Killer Instinct 2
;kinst2uk;Killer Instinct 2 (upgrade kit)
;kizuna;'Kizuna Encounter - Super Tag Battle / Fu''un Super Tag Battle'
;kizuna4p;'Kizuna Encounter - Super Tag Battle 4 Way Battle Version / Fu''un Super Tag Battle Special Version'
;kof2000;The King of Fighters 2000 (NGM-2570 ~ NGH-2570)
;kof2000n;The King of Fighters 2000 (not encrypted)
;kof2001;The King of Fighters 2001 (NGM-262?)
;kof2001h;The King of Fighters 2001 (NGH-2621)
;kof2002;The King of Fighters 2002 (NGM-2650 ~ NGH-2650)
;kof2003;The King of Fighters 2003 (NGM-2710, Export)
;kof2003h;The King of Fighters 2003 (NGH-2710)
;kof94;'The King of Fighters ''94 (NGM-055 ~ NGH-055)'
;kof95;'The King of Fighters ''95 (NGM-084)'
;kof95a;'The King of Fighters ''95 (NGM-084, alt board)'
;kof95h;'The King of Fighters ''95 (NGH-084)'
;kof96;'The King of Fighters ''96 (NGM-214)'
;kof96h;'The King of Fighters ''96 (NGH-214)'
;kof97;'The King of Fighters ''97 (NGM-2320)'
;kof97h;'The King of Fighters ''97 (NGH-2320)'
;kof97k;'The King of Fighters ''97 (Korean release)'
;kof98;'The King of Fighters ''98 - The Slugfest / King of Fighters ''98 - Dream Match Never Ends (NGM-2420)'
;kof98a;'The King of Fighters ''98 - The Slugfest / King of Fighters ''98 - Dream Match Never Ends (NGM-2420, alt board)'
;kof98h;'The King of Fighters ''98 - The Slugfest / King of Fighters ''98 - Dream Match Never Ends (NGH-2420)'
;kof98k;'The King of Fighters ''98 - The Slugfest / King of Fighters ''98 - Dream Match Never Ends (Korean board, set 1)'
;kof98ka;'The King of Fighters ''98 - The Slugfest / King of Fighters ''98 - Dream Match Never Ends (Korean board, set 2)'
Ultimate Match (v1.00);kof98um;'The King of Fighters ''98'
Ultimate Match HERO (China, V100, 09-08-23);kof98umh;'The King of Fighters ''98'
;kof99;'The King of Fighters ''99 - Millennium Battle (NGM-2510)'
;kof99e;'The King of Fighters ''99 - Millennium Battle (earlier)'
;kof99h;'The King of Fighters ''99 - Millennium Battle (NGH-2510)'
;kof99k;'The King of Fighters ''99 - Millennium Battle (Korean release)'
;kof99ka;'The King of Fighters ''99 - Millennium Battle (Korean release, non-encrypted program)'
;kof99p;'The King of Fighters ''99 - Millennium Battle (prototype)'
;lastblad;The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGM-2340)
;lastbladh;The Last Blade / Bakumatsu Roman - Gekka no Kenshi (NGH-2340)
;lastbld2;The Last Blade 2 / Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi (NGM-2430 ~ NGH-2430)
;lastsold;The Last Soldier (Korean release of The Last Blade)
The Dark Age (boot ROM 1.0ce, HDD 1.0b);mace;Mace
The Dark Age (HDD 1.0a);macea;Mace
;martmast;Martial Masters / Xing Yi Quan (ver. 104, 102, 102US)
;martmast102c;Martial Masters / Xing Yi Quan (ver. 102, 101, 101CN)
;martmast103c;Martial Masters / Xing Yi Quan (ver. 103, 102, 101CN)
;martmast104c;Martial Masters / Xing Yi Quan (ver. 104, 102, 101CN)
;martmasttw;Martial Masters / Xing Yi Quan (ver. 102, 101, 101TW)
;matrim;Matrimelee / Shin Gouketsuji Ichizoku Toukon (NGM-2660 ~ NGH-2660)
The Body Explosion (Japan 930713);mbomberj;Muscle Bomber
Ultimate Team Battle (World 931206);mbombrd;Muscle Bomber Duo
Heat Up Warriors (Japan 931206);mbombrdj;Muscle Bomber Duo
;mk;Mortal Kombat (rev 5.0 T-Unit 03/19/93)
;mk2;Mortal Kombat II (rev L3.1)
;mk2r11;Mortal Kombat II (rev L1.1)
;mk2r14;Mortal Kombat II (rev L1.4)
;mk2r20;Mortal Kombat II (rev L2.0)
;mk2r21;Mortal Kombat II (rev L2.1)
;mk2r30;Mortal Kombat II (rev L3.0)
;mk2r31e;Mortal Kombat II (rev L3.1, European)
;mk2r32e;Mortal Kombat II (rev L3.2, European)
;mk3;Mortal Kombat 3 (rev 2.1)
;mk3p40;Mortal Kombat 3 (rev 1 chip label p4.0)
;mk3r10;Mortal Kombat 3 (rev 1.0)
;mk3r20;Mortal Kombat 3 (rev 2.0)
;mk4;Mortal Kombat 4 (version 3.0)
;mk4a;Mortal Kombat 4 (version 2.1)
;mk4b;Mortal Kombat 4 (version 1.0)
;mkla1;Mortal Kombat (rev 1.0 08/09/92)
;mkla2;Mortal Kombat (rev 2.0 08/18/92)
;mkla3;Mortal Kombat (rev 3.0 08/31/92)
;mkla4;Mortal Kombat (rev 4.0 09/28/92)
;mkprot4;Mortal Kombat (prototype, rev 4.0 07/14/92)
;mkprot8;Mortal Kombat (prototype, rev 8.0 07/21/92)
;mkprot9;Mortal Kombat (prototype, rev 9.0 07/28/92)
;mkr4;Mortal Kombat (rev 4.0 T-Unit 02/11/93)
;ms5pcb;Metal Slug 5 (JAMMA PCB)
;msh;Marvel Super Heroes (Euro 951024)
;msha;Marvel Super Heroes (Asia 951024)
;mshb;Marvel Super Heroes (Brazil 951117)
;mshbr1;Marvel Super Heroes (Brazil 951024)
;mshh;Marvel Super Heroes (Hispanic 951117)
;mshj;Marvel Super Heroes (Japan 951117)
;mshjr1;Marvel Super Heroes (Japan 951024)
;mshu;Marvel Super Heroes (USA 951024)
;mshvsf;Marvel Super Heroes Vs. Street Fighter (Euro 970625)
;mshvsfa;Marvel Super Heroes Vs. Street Fighter (Asia 970625)
;mshvsfa1;Marvel Super Heroes Vs. Street Fighter (Asia 970620)
;mshvsfb;Marvel Super Heroes Vs. Street Fighter (Brazil 970827)
;mshvsfb1;Marvel Super Heroes Vs. Street Fighter (Brazil 970625)
;mshvsfh;Marvel Super Heroes Vs. Street Fighter (Hispanic 970625)
;mshvsfj;Marvel Super Heroes Vs. Street Fighter (Japan 970707)
;mshvsfj1;Marvel Super Heroes Vs. Street Fighter (Japan 970702)
;mshvsfj2;Marvel Super Heroes Vs. Street Fighter (Japan 970625)
;mshvsfu;Marvel Super Heroes Vs. Street Fighter (USA 970827)
;mshvsfu1;Marvel Super Heroes Vs. Street Fighter (USA 970625)
;mslug;Metal Slug - Super Vehicle-001
;mslug2;Metal Slug 2 - Super Vehicle-001/II (NGM-2410 ~ NGH-2410)
;mslug3;Metal Slug 3 (NGM-2560)
;mslug3a;Metal Slug 3 (NGM-2560, earlier)
;mslug3h;Metal Slug 3 (NGH-2560)
;mslug4;Metal Slug 4 (NGM-2630)
